Topics,Alpha,Decay,Chunksize,Passes,Coherence
7,0.31,0.4,2000,5,0.49774388939065245
7,0.31,0.4,2000,10,0.4709726815936923
7,0.31,0.4,2500,1,0.5203709395883879
7,0.31,0.4,2500,5,0.4882205446421109
7,0.31,0.4,2500,10,0.4556003027780916
7,0.31,0.5,1500,1,0.5225141334491646
7,0.31,0.5,1500,5,0.47379632074883327
7,0.31,0.5,1500,10,0.4613279267175162
7,0.31,0.5,2000,1,0.5170133868878194
7,0.31,0.5,2000,5,0.485761018128052
7,0.31,0.5,2000,10,0.48313138913545767
7,0.31,0.5,2500,1,0.5137021401543033
7,0.31,0.5,2500,5,0.4950201157242558
7,0.31,0.5,2500,10,0.46848634132114875
7,0.31,0.6000000000000001,1500,1,0.49722589567284264
7,0.31,0.6000000000000001,1500,5,0.4669821169220026
7,0.31,0.6000000000000001,1500,10,0.4756662615464724
7,0.31,0.6000000000000001,2000,1,0.5210283817694463
7,0.31,0.6000000000000001,2000,5,0.4728896550858307
7,0.31,0.6000000000000001,2000,10,0.45385007437569375
7,0.31,0.6000000000000001,2500,1,0.5125419668352615
7,0.31,0.6000000000000001,2500,5,0.4873613598768009
7,0.31,0.6000000000000001,2500,10,0.4709591975994051
7,0.31,0.7000000000000002,1500,1,0.5050073718476684
7,0.31,0.7000000000000002,1500,5,0.4748902391629121
7,0.31,0.7000000000000002,1500,10,0.46507382832448346
7,0.31,0.7000000000000002,2000,1,0.5126506253343678
7,0.31,0.7000000000000002,2000,5,0.4829635557274665
7,0.31,0.7000000000000002,2000,10,0.48340077923666513
7,0.31,0.7000000000000002,2500,1,0.5211054016020886
7,0.31,0.7000000000000002,2500,5,0.4985791645710636
7,0.31,0.7000000000000002,2500,10,0.4837523781015479
7,0.61,0.3,1500,1,0.5706465830433177
7,0.61,0.3,1500,5,0.47125258093008543
7,0.61,0.3,1500,10,0.4678113913577686
7,0.61,0.3,2000,1,0.5686505418208124
7,0.61,0.3,2000,5,0.4645814073960087
7,0.61,0.3,2000,10,0.4601717888088316
7,0.61,0.3,2500,1,0.5539697200499696
7,0.61,0.3,2500,5,0.47818816368792794
7,0.61,0.3,2500,10,0.46482174843465984
7,0.61,0.4,1500,1,0.5586157668236877
7,0.61,0.4,1500,5,0.4597157358094485
7,0.61,0.4,1500,10,0.46973667693120397
7,0.61,0.4,2000,1,0.5360469152842707
7,0.61,0.4,2000,5,0.46756481175505715
7,0.61,0.4,2000,10,0.45012536994986163
